"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2024","110.45","111.06","111.35","110.18","16.08K","0.15%"
"03/25/2024","110.29","109.14","110.81","109.09","32.14K","2.02%"
"03/22/2024","108.11","108.24","109.08","107.83","33.31K","0.48%"
"03/21/2024","107.59","108.80","109.22","106.30","26.19K","-2.27%"
"03/20/2024","110.09","108.29","110.26","108.22","12.36K","0.85%"
"03/19/2024","109.16","109.05","109.42","108.72","16.44K","0.37%"
"03/18/2024","108.76","108.75","108.96","108.41","15.72K","-2.59%"
"03/15/2024","111.65","111.92","113.19","111.05","18.81K","-0.47%"
"03/14/2024","112.18","112.51","113.08","111.70","31.07K","2.43%"
"03/13/2024","109.52","105.49","110.22","105.03","36.19K","3.96%"
"03/12/2024","105.35","104.58","105.46","103.56","30.22K","1.91%"
"03/11/2024","103.38","102.91","103.38","102.17","16.20K","0.41%"
"03/08/2024","102.96","103.97","104.01","102.69","20.26K","-0.16%"
"03/07/2024","103.13","101.53","103.23","101.18","22.64K","1.74%"
"03/06/2024","101.37","103.18","103.31","100.44","13.52K","1.26%"
"03/05/2024","100.11","99.55","100.84","99.34","182.28K","0.20%"
"03/04/2024","99.91","100.64","100.80","99.85","44.55K","-1.49%"
"03/01/2024","101.42","101.69","101.74","100.50","16.49K","0.09%"
"02/29/2024","101.33","102.22","102.27","100.64","15.78K","-1.31%"
"02/28/2024","102.68","102.36","103.10","102.07","14.69K","0.44%"
"02/27/2024","102.23","102.00","102.44","100.70","30.55K","0.05%"
"02/26/2024","102.18","102.67","103.12","101.68","27.69K","0.20%"
"02/23/2024","101.98","102.50","102.84","101.66","29.11K","-0.14%"
"02/22/2024","102.12","100.58","102.13","100.46","26.94K","3.99%"
"02/21/2024","98.20","98.05","98.43","97.67","21.93K","0.43%"
"02/20/2024","97.78","97.44","98.29","97.23","200.32K","3.17%"
"02/16/2024","94.78","95.98","96.01","94.47","19.14K","0.64%"
"02/15/2024","94.18","93.49","94.18","93.11","30.49K","0.19%"
"02/14/2024","94.00","93.22","94.12","92.78","29.83K","3.46%"
"02/13/2024","90.86","91.15","91.91","90.39","221.24K","-2.87%"
