"Date","Price","Open","High","Low","Vol.","Change %"
"20/08/2021","386.92","386.18","388.72","384.72","32.62M","0.52%"
"19/08/2021","384.91","386.77","388.53","384.33","14.28M","-2.80%"
"18/08/2021","396.00","396.78","397.76","389.32","10.99M","-0.10%"
"17/08/2021","396.39","398.15","399.32","392.39","18.77M","0.16%"
"16/08/2021","395.75","400.20","401.71","394.73","17.73M","-1.53%"
"13/08/2021","401.91","400.83","405.08","400.83","20.17M","0.38%"
"12/08/2021","400.39","402.40","404.26","398.78","14.40M","-0.67%"
"11/08/2021","403.08","400.44","403.71","399.12","15.28M","0.67%"
"10/08/2021","400.39","396.88","400.49","394.83","32.18M","-0.20%"
"09/08/2021","401.18","396.39","402.20","395.49","10.43M","0.22%"
"06/08/2021","400.30","391.46","400.59","390.43","15.85M","1.73%"
"05/08/2021","393.51","390.58","395.41","389.16","11.70M","0.62%"
"04/08/2021","391.07","390.68","392.19","385.89","16.78M","0.59%"
"03/08/2021","388.77","386.92","391.26","384.18","15.34M","0.48%"
"02/08/2021","386.92","392.39","395.61","385.84","15.67M","-0.33%"
"30/07/2021","388.19","387.45","391.02","384.82","18.53M","-0.88%"
"29/07/2021","391.65","387.50","393.75","384.67","19.25M","1.11%"
"28/07/2021","387.36","385.45","389.60","384.57","23.81M","-1.66%"
"27/07/2021","393.90","397.51","397.90","389.80","17.08M","0.10%"
"26/07/2021","393.51","390.19","395.75","383.74","18.21M","0.32%"
"23/07/2021","392.24","391.16","395.56","390.77","8.86M","0.22%"
"22/07/2021","391.36","394.88","398.27","390.58","15.23M","-0.29%"
"21/07/2021","392.48","387.89","395.66","386.96","16.12M","1.53%"
"20/07/2021","386.57","386.77","389.21","380.27","28.48M","1.02%"
"19/07/2021","382.67","390.68","392.48","381.15","20.08M","-2.84%"
"16/07/2021","393.85","401.18","402.05","392.39","19.98M","-1.35%"
"15/07/2021","399.22","404.40","404.74","397.22","16.99M","-0.56%"
"14/07/2021","401.47","401.71","406.40","400.54","11.96M","-0.28%"
"13/07/2021","402.59","412.94","414.12","401.22","17.62M","-0.16%"
"12/07/2021","403.23","400.49","404.20","396.00","11.62M","-0.30%"
"09/07/2021","404.45","399.42","404.45","397.32","19.64M","0.85%"
"08/07/2021","401.03","403.67","404.11","397.22","17.16M","-1.76%"
"07/07/2021","408.21","405.23","409.38","404.11","14.86M","0.35%"
"06/07/2021","406.79","412.94","413.63","404.15","16.14M","-1.56%"
"05/07/2021","413.24","409.23","415.24","408.16","8.26M","1.55%"
"02/07/2021","406.94","409.62","411.92","406.01","18.28M","-1.58%"
"01/07/2021","413.48","409.97","415.00","409.97","16.73M","1.45%"
"30/06/2021","407.57","408.45","410.75","404.40","19.15M","-0.95%"
"29/06/2021","411.48","410.21","414.65","409.36","14.56M","0.21%"
"28/06/2021","410.60","416.46","417.58","410.16","13.11M","-1.67%"
"25/06/2021","417.58","417.05","419.68","416.12","14.60M","0.69%"
"24/06/2021","414.70","412.90","416.17","412.31","14.20M","0.88%"
"23/06/2021","411.09","415.24","417.97","411.09","13.92M","-0.67%"
"22/06/2021","413.87","414.46","417.24","412.16","14.41M","-0.66%"
"21/06/2021","416.61","414.95","417.44","412.26","15.91M","-0.66%"
"18/06/2021","419.39","429.94","431.31","418.76","39.32M","-2.28%"
"17/06/2021","429.16","432.14","439.61","429.16","23.93M","0.31%"
"16/06/2021","427.84","429.69","431.99","425.45","19.23M","0.44%"
"15/06/2021","425.98","423.35","426.72","421.73","21.74M","-0.75%"
"14/06/2021","429.21","428.08","431.06","427.74","15.48M","0.57%"
"11/06/2021","426.76","423.74","426.76","422.52","14.06M","0.18%"
"10/06/2021","425.98","425.35","430.52","424.08","14.38M","-0.45%"
"09/06/2021","427.89","430.87","432.19","427.55","9.83M","-1.39%"
"08/06/2021","433.94","435.02","437.19","433.16","11.74M","-0.27%"
"07/06/2021","435.12","434.29","436.82","432.09","12.47M","0.35%"
"04/06/2021","433.60","436.73","437.36","431.31","12.77M","-1.19%"
"03/06/2021","438.83","436.97","441.37","434.09","17.26M","-0.53%"
"02/06/2021","441.17","436.68","441.76","436.68","15.78M","1.21%"
"01/06/2021","435.90","438.34","443.71","435.80","27.22M","-1.98%"
"28/05/2021","444.69","449.18","451.77","443.32","23.63M","1.13%"
"27/05/2021","439.71","434.87","441.51","434.41","29.96M","0.75%"
"26/05/2021","436.43","437.65","439.22","429.72","13.40M","-0.69%"
"25/05/2021","439.46","436.24","442.39","434.63","15.32M","0.76%"
"24/05/2021","436.14","433.65","436.48","431.84","7.15M","0.47%"
"21/05/2021","434.09","432.19","435.40","428.16","17.30M","-0.34%"
"20/05/2021","435.55","433.02","435.85","428.86","14.23M","0.60%"
"19/05/2021","432.97","429.35","435.63","427.69","14.52M","-0.76%"
"18/05/2021","436.29","436.09","438.29","434.63","11.63M","0.75%"
"17/05/2021","433.06","432.77","435.16","428.57","11.61M","-1.20%"
"14/05/2021","438.34","434.92","438.48","434.19","26.36M","1.14%"
"13/05/2021","433.41","428.28","434.63","422.17","13.45M","-0.03%"
"12/05/2021","433.55","426.76","434.63","425.30","19.72M","0.89%"
"11/05/2021","429.74","434.63","435.91","427.16","21.76M","-3.17%"
"10/05/2021","443.81","439.12","445.18","438.39","19.31M","0.71%"
"07/05/2021","440.68","444.88","446.01","437.36","11.96M","-0.87%"
"06/05/2021","444.54","444.00","446.20","441.42","15.33M","0.16%"
"05/05/2021","443.81","435.60","444.44","433.85","21.58M","2.99%"
"04/05/2021","430.92","434.63","439.46","429.45","23.97M","-2.56%"
"30/04/2021","442.25","439.90","446.35","438.48","29.99M","-0.33%"
"29/04/2021","443.71","434.48","448.25","433.65","25.36M","2.47%"
